Kategori,Hiragana,Kanji,Arti,Bab
Kata Kerja (Klp 1),はらいます,払います,Membayar,Bab 17
Kata Kerja (Klp 1),かえします,返します,Mengembalikan,Bab 17
Kata Kerja (Klp 2),でかけます,出かけます,"Pergi, keluar, berangkat",Bab 17
Kata Kerja (Klp 1),ぬぎます,脱ぎます,"Melepas (pakaian, sepatu, dll)",Bab 17
Kata Kerja (Klp 1),もっていきます,持っていきます,Membawa pergi,Bab 17
Kata Kerja (Klp 3),もってきます,持ってきます,Datang membawa,Bab 17
Kata Kerja (Klp 3),しんぱいします,心配します,Mengkhawatirkan,Bab 17
Kata Kerja (Klp 3),ざんぎょうします,残業します,Melembur,Bab 17
Kata Kerja (Klp 3),しゅっちょうします,出張します,Dinas (perjalanan kerja),Bab 17
Kata Kerja (Klp 1),のみます,飲みます,Minum,Bab 17
Kata Kerja (Klp 1),はいります,入ります,Masuk,Bab 17
Kata Sifat Na,たいせつ[な],大切[な],"Penting, bernilai, berharga",Bab 17
Kata Sifat Na,だいじょうぶ[な],大丈夫[な],Tidak apa-apa / Tidak masalah,Bab 17
Kata Sifat I,あぶない,危ない,Berbahaya,Bab 17
Kata Benda,きんえん,禁煙,Dilarang merokok,Bab 17
Kata Benda,[けんこう]ほけんしょう,[健康]保険証,Kartu asuransi [Kesehatan],Bab 17
Kata Benda,ねつ,熱,Demam,Bab 17
Kata Benda,びょうき,病気,Penyakit,Bab 17
Kata Benda,くすり,薬,Obat,Bab 17
Kata Benda,[お]ふろ,[お]風呂,Mandi / Kamar mandi,Bab 17
Kata Benda,うわぎ,上着,Jaket,Bab 17
Kata Benda,したぎ,下着,Pakaian dalam,Bab 17
Kata Benda,のど,喉,Tenggorokan,Bab 17
Kata Benda,かぜ,風邪,Masuk angin,Bab 17
Ungkapan,2、3にち,2、3日,Dua atau tiga hari,Bab 17
Ungkapan,〜までに,〜までに,Sampai dengan ~ (batas waktu),Bab 17
Ungkapan,ですから,ですから,Oleh karena itu,Bab 17
Ungkapan,どうしましたか,どうしましたか,Kenapa? / Ada masalah apa?,Bab 17
Ungkapan,[〜が]いたいです,[〜が]痛いです,[~nya] Sakit,Bab 17
Ungkapan,それから,それから,Kemudian / Lalu / Setelah itu,Bab 17
Ungkapan,おだいじに,お大事に,Semoga lekas sembuh,Bab 17
Kata Kerja (Klp 2),できます,できます,"Bisa, dapat, mampu",Bab 18
Kata Kerja (Klp 1),あらいます,洗います,Mencuci,Bab 18
Kata Kerja (Klp 1),ひきます,弾きます,Bermain (alat musik senar dan piano),Bab 18
Kata Kerja (Klp 1),うたいます,歌います,"Bernyanyi, menyanyi",Bab 18
Kata Kerja (Klp 2),あつめます,集めます,Mengumpulkan,Bab 18
Kata Kerja (Klp 2),すてます,捨てます,Membuang,Bab 18
Kata Kerja (Klp 2),かえます,換えます,"Mengganti, menukar",Bab 18
Kata Kerja (Klp 3),うんてんします,運転します,"Menyetir, mengendarai",Bab 18
Kata Kerja (Klp 3),よやくします,予約します,Memesan,Bab 18
Kata Benda,ピアノ,ピアノ,Piano,Bab 18
Kata Benda,メートル,メートル,Meter,Bab 18
Kata Benda,げんきん,現金,Uang tunai,Bab 18
Kata Benda,しゅみ,趣味,"Hobi, kegemaran",Bab 18
Kata Benda,にっき,日記,Buku harian,Bab 18
Kata Benda,[お]いのり,[お]祈り,Doa,Bab 18
Kata Benda,かちょう,課長,Kepala bagian,Bab 18
Kata Benda,ぶちょう,部長,Kepala departemen,Bab 18
Kata Benda,しゃちょう,社長,Direktur utama,Bab 18
Kata Benda,どうぶつ,動物,Binatang / Hewan,Bab 18
Kata Benda,うま,馬,Kuda,Bab 18
Kata Benda,インターネット,インターネット,Internet,Bab 18
Kata Benda,とくに,特に,Terutama,Bab 18
Kata Benda,へえ,へえ,Wah (ungkapan terkejut),Bab 18
Kata Benda,それはおもしろいですね,それは面白いですね,Itu menarik ya,Bab 18
Kata Benda,なかなか,なかなか,Tidak mudah ~ / Cukup ~,Bab 18
Kata Benda,ほんとうですか,本当ですか,Benarkah?,Bab 18
Kata Benda,ぜひ,ぜひ,Sangat / Pasti,Bab 18
Kata Kerja (Klp 1),のぼります,登ります,Mendaki (gunung),Bab 19
Kata Kerja (Klp 2),とまります,泊まります,Menginap (di hotel),Bab 19
Kata Kerja (Klp 1),そうじします,掃除します,Membersihkan,Bab 19
Kata Kerja (Klp 1),せんたくします,洗濯します,Mencuci (pakaian),Bab 19
Kata Kerja (Klp 1),なリます,なります,Menjadi,Bab 19
Kata Sifat Na,ねむい,眠い,Mengantuk,Bab 19
Kata Sifat I,つよい,強い,Kuat,Bab 19
Kata Sifat I,よわい,弱い,Lemah,Bab 19
Kata Benda,れんしゅう,練習,Latihan,Bab 19
Kata Benda,ゴルフ,ゴルフ,Golf,Bab 19
Kata Benda,すもう,相撲,Sumo,Bab 19
Kata Benda,おちゃ,お茶,Teh / Upacara minum teh,Bab 19
Kata Benda,ひ,日,Hari,Bab 19
Kata Benda,ちょうし,調子,Kondisi,Bab 19
Ungkapan,いちど,一度,Sekali,Bab 19
Ungkapan,いちども,一度も,Satu kali pun (diikuti bentuk negatif),Bab 19
Ungkapan,だんだん,だんだん,"Lama kelamaan, berangsur-angsur",Bab 19
Ungkapan,もうすぐ,もうすぐ,Tidak lama lagi / Sebentar lagi,Bab 19
Ungkapan,おかげさまで,おかげさまで,Atas berkat (ungkapan terima kasih),Bab 19
Ungkapan,でも,でも,Tetapi,Bab 19
Ungkapan,かんぱい,乾杯,Toast saat minum (bersulang),Bab 19
Kata Benda,ダイエット,ダイエット,Diet,Bab 19
Kata Sifat Na,むり[な],無理[な],Paksa / Berlebihan,Bab 19
Ungkapan,からだにいい,体にいい,Baik untuk Tubuh,Bab 19
Kata Benda,とうきょうスカイツリー,東京スカイツリー,Tokyo Sky Tree,Bab 19
Kata Kerja (Klp 1),いります,要ります,Memerlukan,Bab 20
Kata Kerja (Klp 2),しらべます,調べます,"Memeriksa, meneliti, mengecek",Bab 20
Kata Kerja (Klp 3),しゅうりします,修理します,Memperbaiki,Bab 20
Kata Benda,ぼく,僕,Aku (untuk laki-laki),Bab 20
Kata Benda,きみ,君,Kamu (untuk yang selevel atau di bawahnya),Bab 20
Ungkapan,〜くん,〜君,Sdr. ~ (untuk yang selevel atau di bawahnya),Bab 20
Ungkapan,うん,うん,Ya (informal),Bab 20
Ungkapan,ううん,ううん,Nggak (informal),Bab 20
Kata Benda,ことば,言葉,Kosakata / Kata / Bahasa,Bab 20
Kata Benda,きもの,着物,Kimono,Bab 20
Kata Benda,ビザ,ビザ,Visa,Bab 20
Kata Benda,はじめ,初め,Awal,Bab 20
Kata Benda,おわり,終わり,Akhir,Bab 20
Kata Benda,こっち,こっち,Sini,Bab 20
Kata Benda,そっち,そっち,Situ,Bab 20
Kata Benda,あっち,あっち,Sana,Bab 20
Kata Benda,どっち,どっち,Mana,Bab 20
Ungkapan,みんなで,みんなで,Kita bersama-sama,Bab 20
Ungkapan,〜けど,〜けど,~ tetapi,Bab 20
Ungkapan,おなかがいっぱいです,お腹がいっぱいです,Sudah Kenyang,Bab 20
Ungkapan,よかったら,よかったら,Kalau Berkenan,Bab 20
Ungkapan,いろいろ,いろいろ,Macam-macam,Bab 20
Kata Kerja (Klp 1),おもいます,思います,"Mengira, berpikir",Bab 21
Kata Kerja (Klp 1),いいます,言います,"Mengatakan, berkata",Bab 21
Kata Kerja (Klp 1),かちます,勝ちます,Menang,Bab 21
Kata Kerja (Klp 2),まけます,負けます,Kalah,Bab 21
Kata Kerja (Klp 1),あります,あります,Ada,Bab 21
Kata Kerja (Klp 1),やくにたちます,役に立ちます,"Berguna, bermanfaat",Bab 21
Kata Kerja (Klp 1),うごきます,動きます,Bergerak,Bab 21
Kata Kerja (Klp 2),やめます,やめます,Berhenti,Bab 21
Kata Kerja (Klp 2),きをつけます,気をつけます,Berwaspada,Bab 21
Kata Kerja (Klp 3),りゅうがくします,留学します,Studi di luar negeri,Bab 21
Kata Sifat Na,むだ[な],無駄[な],"Sia-sia, tidak berguna",Bab 21
Kata Sifat Na,ふべん[な],不便[な],Tidak praktis,Bab 21
Kata Sifat I,すごい,凄い,Hebat,Bab 21
Kata Benda,ほんとう,本当,"Beneran, betul",Bab 21
Kata Benda,うそ,嘘,Bohong,Bab 21
Kata Benda,じどうしゃ,自動車,Mobil,Bab 21
Kata Benda,こうつう,交通,Lalu lintas,Bab 21
Kata Benda,ぶっか,物価,Harga barang,Bab 21
Kata Benda,ほうそう,放送,"Siaran, pengumuman",Bab 21
Kata Benda,ニュース,ニュース,Berita,Bab 21
Kata Benda,アニメ,アニメ,Animasi,Bab 21
Kata Benda,まんが,漫画,Komik,Bab 21
Kata Benda,デザイン,デザイン,Desain,Bab 21
Kata Benda,ゆめ,夢,Mimpi,Bab 21
Kata Benda,はなし,話,Cerita,Bab 21
Kata Benda,つき,月,Bulan,Bab 21
Kata Benda,てんさい,天才,Jenius,Bab 21
Kata Benda,しあい,試合,Pertandingan,Bab 21
Kata Benda,いけん,意見,Pendapat,Bab 21
Kata Benda,ちきゅう,地球,Bumi,Bab 21
Ungkapan,さいきん,最近,Akhir-akhir ini,Bab 21
Ungkapan,たぶん,多分,"Mungkin, barangkali",Bab 21
Ungkapan,きっと,きっと,Pasti (lebih pasti dari たぶん),Bab 21
Ungkapan,ほんとうに,本当に,Betul-betul,Bab 21
Ungkapan,そんなに,そんなに,Tidak begitu (diikuti bentuk negatif),Bab 21
Ungkapan,〜について,〜について,"Tentang ~, mengenai ~",Bab 21
Ungkapan,ひさしぶりですね,久しぶりですね,Sudah lama tidak bertemu ya,Bab 21
Ungkapan,〜でものみませんか,〜でも飲みませんか,Mau minum ~ ngga?,Bab 21
Ungkapan,もちろん,もちろん,Tentu saja,Bab 21
Ungkapan,もうかえらないと,もう帰らないと,Sudah harus pulang nih...,Bab 21
Kata Kerja (Klp 2),きます,着ます,"Memakai (untuk pakaian atas, kemeja, dll)",Bab 22
Kata Kerja (Klp 1),はきます,履きます,"Memakai (untuk pakaian bawah, celana, sepatu, dll)",Bab 22
Kata Kerja (Klp 1),かぶります,かぶります,"Memakai (untuk di kepala, topi, dll)",Bab 22
Kata Kerja (Klp 2),かけます,かけます,Memakai (kacamata),Bab 22
Kata Kerja (Klp 3),します,します,Memakai (dasi/alat),Bab 22
Kata Kerja (Klp 2),うまれます,生まれます,Lahir,Bab 22
Kata Benda,わたしたち,私たち,"Kami, kita",Bab 22
Kata Benda,コート,コート,"Mantel, coat",Bab 22
Kata Benda,セーター,セーター,Sweater,Bab 22
Kata Benda,スーツ,スーツ,Pakaian Setelan / Jas,Bab 22
Kata Benda,ぼうし,帽子,Topi,Bab 22
Kata Benda,めがね,眼鏡,Kacamata,Bab 22
Kata Benda,ケーキ,ケーキ,Kue,Bab 22
Kata Benda,[お]べんとう,[お]弁当,Bekal Makanan,Bab 22
Kata Benda,ロボット,ロボット,Robot,Bab 22
Kata Benda,ユーモア,ユーモア,Humor,Bab 22
Kata Benda,つごう,都合,Kondisi (kesesuaian jadwal),Bab 22
Kata Benda,よく,よく,Sering Sekali,Bab 22
Kata Benda,やちん,家賃,Biaya Sewa (Rumah / Apartemen / Kontrakan),Bab 22
Kata Benda,わしつ,和室,Ruangan ala Jepang,Bab 22
Kata Benda,ふとん,布団,Kasur & Selimut ala Jepang,Bab 22
Kata Kerja (Klp 1),ききます,聞きます,Bertanya,Bab 23
Kata Kerja (Klp 1),まわします,回します,Memutar,Bab 23
Kata Kerja (Klp 2),でます,出ます,Keluar,Bab 23
Kata Kerja (Klp 1),まがります,曲がります,Belok,Bab 23
Kata Kerja (Klp 1),ひきます,引きます,Tarik,Bab 23
Kata Kerja (Klp 2),かえます,変えます,Mengubah,Bab 23
Kata Kerja (Klp 1),さわります,触ります,Menyentuh,Bab 23
Kata Kerja (Klp 1),あるきます,歩きます,Berjalan kaki,Bab 23
Kata Kerja (Klp 1),わたります,渡ります,Menyeberang,Bab 23
Kata Benda,おと,音,"Bunyi, suara",Bab 23
Kata Sifat I,さびしい,寂しい,Sepi,Bab 23
Kata Benda,[お]ゆ,[お]湯,Air panas,Bab 23
Kata Benda,サイズ,サイズ,Ukuran,Bab 23
Kata Benda,こしょう,故障,Kerusakan,Bab 23
Kata Benda,みち,道,Jalan,Bab 23
Kata Benda,こうさてん,交差点,Perempatan,Bab 23
Kata Benda,しんごう,信号,Lampu lalu lintas,Bab 23
Ungkapan,〜め,〜目,Yang ke~ (menyatakan urutan),Bab 23
Kata Benda,ちゅうしゃじょう,駐車場,Tempat parkir,Bab 23
Kata Benda,たてもの,建物,Gedung,Bab 23
Kata Benda,かど,角,Sudut,Bab 23
Kata Benda,はし,橋,Jembatan,Bab 23
Ungkapan,なんかいも,何回も,Berapa kalipun,Bab 23
Kata Kerja (Klp 2),くれます,くれます,Diberikan (oleh orang lain kepada saya),Bab 24
Kata Kerja (Klp 1),なおします,直します,Mengoreksi,Bab 24
Kata Kerja (Klp 1),つれていきます,連れていきます,Membawa / Mengajak Pergi,Bab 24
Kata Kerja (Klp 3),つれてきます,連れてきます,Membawa / Mengajak Datang,Bab 24
Kata Kerja (Klp 1),おくります,送ります,"Mengantar, mengirimkan",Bab 24
Kata Kerja (Klp 3),しょうかいします,紹介します,Memperkenalkan,Bab 24
Kata Kerja (Klp 3),あんないします,案内します,Mengantarkan,Bab 24
Kata Kerja (Klp 3),せつめいします,説明します,"Menjelaskan, menerangkan",Bab 24
Kata Benda,おじいさん,お祖父さん,Kakek,Bab 24
Kata Benda,おばあさん,お祖母さん,Nenek,Bab 24
Kata Benda,じゅんび,準備,Persiapan,Bab 24
Kata Benda,ひっこし,引っ越し,Pindahan Rumah,Bab 24
Kata Benda,[お]かし,[お]菓子,Kue,Bab 24
Kata Benda,ぜんぶ,全部,"Semua, segalanya",Bab 24
Kata Benda,じぶんで,自分で,Dilakukan sendiri,Bab 24
Kata Benda,[ほかに],[他に],Yang lain,Bab 24
Kata Benda,ははのひ,母の日,Hari Ibu,Bab 24
Kata Kerja (Klp 2),かんがえます,考えます,"Berpikir, memikirkan",Bab 25
Kata Kerja (Klp 2),たります,足ります,Cukup,Bab 25
Kata Kerja (Klp 1),つきます,着きます,"Tiba, sampai",Bab 25
Kata Kerja (Klp 1),[としを]とります,[年を]取ります,Berumur / Lanjut usia,Bab 25
Kata Kerja (Klp 1),がんばります,頑張ります,"Berusaha, bekerja keras",Bab 25
Kata Benda,いなか,田舎,"Kampung, desa",Bab 25
Kata Benda,おく,億,Ratus jutaan,Bab 25
Ungkapan,もし[〜たら],もし[〜たら],Kalau ~,Bab 25
Kata Benda,いみ,意味,"Arti, makna",Bab 25
Kata Benda,てんきん,転勤,Pindah kantor cabang / jabatan,Bab 25
Kata Benda,チャンス,チャンス,Kesempatan,Bab 25
Ungkapan,もしもし,もしもし,Halo (saat angkat telepon),Bab 25
Kata Benda,こと,事,Hal,Bab 25
Kata Benda,ひま,暇,"Waktu luang, senggang",Bab 25
Kata Benda,ベトナム,ベトナム,Vietnam,Bab 25
Ungkapan,いろいろおせわになりました,いろいろお世話になりました,Terima kasih banyak atas bantuan selama ini,Bab 25
Ungkapan,どうぞおげんきで,どうぞお元気で,Sehat selalu ya (pesan saat perpisahan),Bab 25
